SampleID	NGN2_MOI	Control_MOI	NT3_ng	fractMAP2
1	0.0	5.0	0	0.002
2	0.0	5.0	0	0.001
3	0.0	5.0	0	0.001
4	0.0	5.0	10	0.003
5	0.0	5.0	10	0.002
6	0.0	5.0	10	0.004
7	2.0	0.0	0	0.021
8	2.0	0.0	0	0.018
9	2.0	0.0	0	0.026
10	2.0	0.0	10	0.001
11	2.0	0.0	10	0.022
12	2.0	0.0	10	0.019
13	5.0	0.0	0	0.085
14	5.0	0.0	0	0.091
15	5.0	0.0	0	0.079
16	5.0	0.0	10	0.13
17	5.0	0.0	10	0.143
18	5.0	0.0	10	0.091
19	10.0	0.0	0	0.037
20	10.0	0.0	0	0.032
21	10.0	0.0	0	0.043
22	10.0	0.0	10	0.059
23	10.0	0.0	10	0.068
24	10.0	0.0	10	0.04
